,Page Name,Facebook Link,Url,Email,Phone Numer,General Information
0,Car Repair NYC - New York City Auto Repair - Manhattan NY,https://web.facebook.com/Car-Repair-NYC-New-York-City-Auto-Repair-Manhattan-NY-248902591857537/?__tn__=%3C,http://www.uptownautorepair.net/nychttp://www.uptownautorepair.net/nychttp://www.uptownautorepair.net/nyc,,212-876-1040876-1047286-8596876-1047286-8596, 54 people like this 58 people follow this 5 people checked in here Oil Lube & Filter Service · Automotive Store Business details Price range  · $ Additional contact info http://www.uptownautorepair.net/nyc +1 212-876-1040 Send message More info AboutAffordable AUTO Repair NYC| Car Repair Service:http://www.uptownautorepair.net/nyc (212)-876-1047   |   (347)-286-8596 Additional informationAffordable AUTO Repair NYC| Car Repair Service:http://www.uptownautorepair.net/nyc (212)-876-1047   |   (347)-286-8596AUTO Repair NYC| Car Repair New… See more 
1,New York City Auto Repair Association,https://web.facebook.com/nycarassociation/?__tn__=%3C,https://www.nycara.org/,info@nycara.org,917-522-5912, 66 people like this 68 people follow this Charity Organization Additional contact info https://www.nycara.org/ +1 917-522-5912 info@nycara.org Send message More info AboutNew York City's first not-for-profit trade organization dedicated solely to auto repair shops. 
2,Windshield Replacement Auto Glass Repair New York NY,https://web.facebook.com/Windshield-Replacement-Auto-Glass-Repair-New-York-NY-167774173367610/?__tn__=%3C,http://www.windshieldreplacementautoglassrepairnewyorkny.com/,,212-203-4819," 2 people like this 2 people follow this 1 person checked in here Automotive Glass Service · Automotive Repair Shop · Glass Service Hours Always open Business details Price range  · $$ Additional contact info http://www.windshieldreplacementautoglassrepairnewyorkny.com/ +1 212-203-4819 Send message More info AboutWindshield Replacement New York NY Additional informationAuto Glass Replacement by Windshield Replacement Auto Glass Repair New York NY replaces not only windshields but also door glass, vent glass, quarter … See more "
3,"Certified Auto Repair of New York Mills, Inc.",https://web.facebook.com/Certified-Auto-Repair-of-New-York-Mills-Inc-282732623054/?__tn__=%3C,http://locations.autovalue.com/mn/new%20york%20mills/497066/,certautorepair@lakesplus.com,218-385-4488," 577 people like this 591 people follow this 32 people checked in here Tire Dealer & Repair Shop · Automotive Repair Shop · Oil Lube & Filter Service Hours Open now 7:30 AM - 5:30 PM Business details Price range  · $$ Additional contact info http://locations.autovalue.com/mn/new%20york%20mills/497066/ +1 218-385-4488 certautorepair@lakesplus.com Typically replies within an hourSend message More info AboutYour Full Service Automotive Repair Shop! From oil changes to engines, we do it all! "
4,New York City Photos,https://web.facebook.com/nydaily?__tn__=%3C,,,,
5,,,,,,
6,Best Auto Repair NYC & Towing Service - Uptown Auto Repair New York,https://web.facebook.com/Best-Auto-Repair-NYC-Towing-Service-Uptown-Auto-Repair-New-York-112361068825211/?__tn__=%3C,http://www.manhattantowingservice.com/,,," 172 people like this 177 people follow this Automotive, Aircraft & Boat Additional contact info http://www.manhattantowingservice.com/ Send message More info AboutBest Auto Repair NYC & Towing Service - Uptown Auto Repair New York Additional informationWe offer realiable Auto Repair and Towing Services in NYC. "
7,International 2000 Auto Repair Inc.,https://web.facebook.com/International-2000-Auto-Repair-Inc-179616865394006/?__tn__=%3C,http://2000autoservice.com/,mike415@verizon.net,212-694-8787," 81 people like this 86 people follow this 115 people checked in here Automotive Repair Shop · Automotive Parts Store · Real Estate Hours Open now 7:30 AM - 6:00 PM Business details Price range  · $$ Additional contact info http://2000autoservice.com/ +1 212-694-8787 mike415@verizon.net Send message More info AboutWelcome to International2000Inc.com, your number one solution for NYC auto repair, auto support, dent removal and towing in New York and more.  Additional informationAs your experienced auto body shop for over 40 years, our team is here to serve your vehicle’s entire auto body repair and paint needs. We know that y… See more "
8,AutoClinic Mahopac New York,https://web.facebook.com/AutoClinicofMahopac/?__tn__=%3C,http://www.autoclinicofny.com/,autoclinicofny@gmail.com,845-628-6668," 280 people like this 295 people follow this 20 people checked in here Tire Dealer & Repair Shop · Automotive Repair Shop · Oil Lube & Filter Service Hours Open now 8:00 AM - 6:00 PM Business details Price range  · $$ Additional contact info http://www.autoclinicofny.com/ +1 845-628-6668 autoclinicofny@gmail.com Send message More info AboutFor nearly 9 years, AutoClinic has been helping Mahopac motorists get back on the road and keep their rides in prime condition. As a full-service auto… See more "
9,Barnett Auto Repair,https://web.facebook.com/BarnettAutoRepair/?__tn__=%3C,http://www.barnettautorepair.com/,,718-786-5640, 288 people like this 300 people follow this 6 people checked in here Automotive Repair Shop · Automotive Restoration Service · Automotive Customization Shop Hours Open now 8:00 AM - 6:00 PM Business details Price range  · $$ Additional contact info http://www.barnettautorepair.com/ +1 718-786-5640 Send message More info AboutAuto Repair Shop & Restorations - Since 1964  Additional informationBarnett Auto Repair is located in Sunnyside (Long Island City) New York.We pick-up and drop off your car on demand. We winterize any collector car in… See more 
