,Page Name,Facebook Link,General Information,General Information_2,General Information_3,General Information_4
0,Car Repair NYC - New York City Auto Repair - Manhattan NY,https://www.facebook.com/Car-Repair-NYC-New-York-City-Auto-Repair-Manhattan-NY-248902591857537/?__tn__=%3C, 54 people like this 58 people follow this 5 people checked in here Oil Lube & Filter Service · Automotive Store ,Business details Price range  · $ ,Additional contact info http://www.uptownautorepair.net/nyc +1 212-876-1040 Send message ,More info AboutAffordable AUTO Repair NYC| Car Repair Service:http://www.uptownautorepair.net/nyc (212)-876-1047   |   (347)-286-8596 Additional informationAffordable AUTO Repair NYC| Car Repair Service:http://www.uptownautorepair.net/nyc (212)-876-1047   |   (347)-286-8596AUTO Repair NYC| Car Repair New… See more 
1,New York City Auto Repair Association,https://www.facebook.com/nycarassociation/?__tn__=%3C, 66 people like this 68 people follow this Charity Organization ,Additional contact info https://www.nycara.org/ +1 917-522-5912 info@nycara.org Send message ,More info AboutNew York City's first not-for-profit trade organization dedicated solely to auto repair shops. ,
2,Windshield Replacement Auto Glass Repair New York NY,https://www.facebook.com/Windshield-Replacement-Auto-Glass-Repair-New-York-NY-167774173367610/?__tn__=%3C, 2 people like this 2 people follow this 1 person checked in here Automotive Glass Service · Automotive Repair Shop · Glass Service ,Hours Always open ,Business details Price range  · $$ ,Additional contact info http://www.windshieldreplacementautoglassrepairnewyorkny.com/ +1 212-203-4819 Send message 
3,New York City Photos,https://www.facebook.com/nydaily?__tn__=%3C,,,,
4,Barnett Auto Repair,https://www.facebook.com/BarnettAutoRepair/?__tn__=%3C, 285 people like this 297 people follow this 6 people checked in here Automotive Repair Shop · Automotive Restoration Service · Automotive Customization Shop ,Hours Open now 8:00 AM - 6:00 PM ,Business details Price range  · $$ ,Additional contact info http://www.barnettautorepair.com/ +1 718-786-5640 Send message 
5,AutoClinic Mahopac New York,https://www.facebook.com/AutoClinicofMahopac/?__tn__=%3C, 280 people like this 295 people follow this 20 people checked in here Tire Dealer & Repair Shop · Automotive Repair Shop · Oil Lube & Filter Service ,Hours Open now 8:00 AM - 6:00 PM ,Business details Price range  · $$ ,Additional contact info http://www.autoclinicofny.com/ +1 845-628-6668 autoclinicofny@gmail.com Send message 
6,Best Auto Repair NYC & Towing Service - Uptown Auto Repair New York,https://www.facebook.com/Best-Auto-Repair-NYC-Towing-Service-Uptown-Auto-Repair-New-York-112361068825211/?__tn__=%3C," 172 people like this 177 people follow this Automotive, Aircraft & Boat ",Additional contact info http://www.manhattantowingservice.com/ Send message ,More info AboutBest Auto Repair NYC & Towing Service - Uptown Auto Repair New York Additional informationWe offer realiable Auto Repair and Towing Services in NYC. ,
7,CarMart Auto Services,https://www.facebook.com/carmartautoservices/?__tn__=%3C, 537 people like this 539 people follow this Automotive Repair Shop · Car dealership · Tire Dealer & Repair Shop ,Hours Open now 8:00 AM - 6:00 PM ,Additional contact info https://www.carmartautoservices.com/ +1 516-636-5600 info@melvilleautosales.com Send message ,More info AboutWelcome to Melville Auto Services Inc. We are a full service New York used car dealer located in Melville serving the towns of Suffolk County Plainview NY 
8,Auto PhD New York,https://www.facebook.com/autophdnewyork/?__tn__=%3C, 267 people like this 285 people follow this 9 people checked in here Automotive Repair Shop · Motor vehicle company · Local Service ,Hours Open now 8:00 AM - 6:00 PM ,Business details Price range  · $$ ,Additional contact info http://www.autophd.com/ +1 516-283-2100 info@autophd.com Send message 
9,,,,,,
10,New York Bad Credit Rescue,https://www.facebook.com/New-York-Bad-Credit-Rescue-352954558136341/?__tn__=%3C, 9 people like this 9 people follow this Credit Counseling Service ,Hours Always open ,Business details Price range  · $$$$ ,Additional contact info http://www.badcreditrescue.com/ badcreditrescue@gmail.com Send message 
11,Car doctor auto repair & body work,https://www.facebook.com/Car-doctor-auto-repair-body-work-289508824717916/?__tn__=%3C, 45 people like this 46 people follow this 1 person checked in here Automotive Body Shop ,Business details Price range  · $ ,Additional contact info +1 718-440-6242 Send message ,
12,Midtown Center Auto Repair,https://www.facebook.com/midtowncenterautorepair/?__tn__=%3C, 963 people like this 967 people follow this 24 people checked in here Automotive Body Shop · Automotive Repair Shop · Motor vehicle company ,Hours Always open ,Business details Price range  · $$ ,Additional contact info https://midtowncenterautorepair.com/ +1 212-629-1028 mordechai@midtowncenterautorepair.com Send message 
13,Car Repair + Rental Dhaka,https://www.facebook.com/recarbd/?__tn__=%3C," 3,312 people like this 3,434 people follow this Automotive Repair Shop ",Hours Always open ,Additional contact info http://recardbd.com/ 01621-996660 Typically replies within a daySend message ,More info AboutCar Repair Shop in Dhaka Offers free Wi-Fi 
14,"New York, New York",https://www.facebook.com/pages/New-York-New-York/108424279189115?__tn__=%3C,,,,
