,Page Name,Facebook Link,Url,General Information,General Information_2,General Information_3,General Information_4
0,Car Repair NYC - New York City Auto Repair - Manhattan NY,https://web.facebook.com/Car-Repair-NYC-New-York-City-Auto-Repair-Manhattan-NY-248902591857537/?__tn__=%3C,"['http://www.uptownautorepair.net/nyc', 'http://www.uptownautorepair.net/nyc', 'http://www.uptownautorepair.net/nyc']", 54 people like this 58 people follow this 5 people checked in here Oil Lube & Filter Service · Automotive Store ,Business details Price range  · $ ,Additional contact info http://www.uptownautorepair.net/nyc +1 212-876-1040 Send message ,More info AboutAffordable AUTO Repair NYC| Car Repair Service:http://www.uptownautorepair.net/nyc (212)-876-1047   |   (347)-286-8596 Additional informationAffordable AUTO Repair NYC| Car Repair Service:http://www.uptownautorepair.net/nyc (212)-876-1047   |   (347)-286-8596AUTO Repair NYC| Car Repair New… See more 
1,New York City Auto Repair Association,https://web.facebook.com/nycarassociation/?__tn__=%3C,,,,,
2,Windshield Replacement Auto Glass Repair New York NY,https://web.facebook.com/Windshield-Replacement-Auto-Glass-Repair-New-York-NY-167774173367610/?__tn__=%3C,['http://www.windshieldreplacementautoglassrepairnewyorkny.com/'], 2 people like this 2 people follow this 1 person checked in here Automotive Glass Service · Automotive Repair Shop · Glass Service ,Hours Always open ,Business details Price range  · $$ ,Additional contact info http://www.windshieldreplacementautoglassrepairnewyorkny.com/ +1 212-203-4819 Send message 
3,"Certified Auto Repair of New York Mills, Inc.",https://web.facebook.com/Certified-Auto-Repair-of-New-York-Mills-Inc-282732623054/?__tn__=%3C,['http://locations.autovalue.com/mn/new%20york%20mills/497066/'], 573 people like this 584 people follow this 32 people checked in here Tire Dealer & Repair Shop · Automotive Repair Shop · Oil Lube & Filter Service ,Hours Closed now 7:30 AM - 5:30 PM ,Business details Price range  · $$ ,Additional contact info http://locations.autovalue.com/mn/new%20york%20mills/497066/ +1 218-385-4488 certautorepair@lakesplus.com Typically replies within an hourSend message 
4,New York City Photos,https://web.facebook.com/nydaily?__tn__=%3C,,,,,
5,Best Auto Repair NYC & Towing Service - Uptown Auto Repair New York,https://web.facebook.com/Best-Auto-Repair-NYC-Towing-Service-Uptown-Auto-Repair-New-York-112361068825211/?__tn__=%3C,,,,,
6,,,,,,,
7,Barnett Auto Repair,https://web.facebook.com/BarnettAutoRepair/?__tn__=%3C,['http://www.barnettautorepair.com/'], 287 people like this 299 people follow this 6 people checked in here Automotive Repair Shop · Automotive Restoration Service · Automotive Customization Shop ,Hours Closed now 8:00 AM - 6:00 PM ,Business details Price range  · $$ ,Additional contact info http://www.barnettautorepair.com/ +1 718-786-5640 Send message 
8,AutoClinic Mahopac New York,https://web.facebook.com/AutoClinicofMahopac/?__tn__=%3C,['http://www.autoclinicofny.com/'], 280 people like this 295 people follow this 20 people checked in here Tire Dealer & Repair Shop · Automotive Repair Shop · Oil Lube & Filter Service ,Hours Closed now 8:00 AM - 6:00 PM ,Business details Price range  · $$ ,Additional contact info http://www.autoclinicofny.com/ +1 845-628-6668 autoclinicofny@gmail.com AwaySend message 
9,Blast Auto Lube & Repair Center,https://web.facebook.com/blastauto/?__tn__=%3C,['http://www.blastauto.com/'], 70 people like this 74 people follow this 4 people checked in here Oil Lube & Filter Service · Tire Dealer & Repair Shop · Automotive Repair Shop ,Hours Closed now 8:00 AM - 6:00 PM ,Business details Price range  · $$ ,Additional contact info http://www.blastauto.com/ +1 718-449-0953 Send message 
