,Page Name,Facebook Link,Url,Email,Phone Numer,General Information
0,SUMIN AUTO - Car Repair Service in Toronto,https://www.facebook.com/AutoRepairServiceToronto/?__tn__=%3C,http://suminauto.ca/#!/?page_id=1241,service@suminauto.ca,416-740-7519," 226 people like this 232 people follow this 40 people checked in here Automotive Customization Shop · Automotive Consultant · Automotive Repair Shop Hours Always open Business details Price range  · $ Additional contact info http://suminauto.ca/#!/?page_id=1241 +1 416-740-7519 service@suminauto.ca Send message More info AboutManufacturers approved general automotive service and repair. Additional informationWe specialize in European cars: Audi, BMW, Mercedes-Benz, Porsche, VW, Volvo, Mini & Smart. "
1,CMB Auto Repairs,https://www.facebook.com/cmbautorepairs/?__tn__=%3C,http://www.cmbautorepairs.com/,cmbautorepairs@gmail.com,416-757-6777," 446 people like this 455 people follow this 37 people checked in here Automotive Repair Shop · Automotive Parts Store · Oil Lube & Filter Service Hours Open now 9:30 AM - 5:00 PM Business details Price range  · $$ Additional contact info http://www.cmbautorepairs.com/ +1 416-757-6777 cmbautorepairs@gmail.com Send message More info AboutFrom car maintenance to any other automobile needs, we offer all types of #autorepair services within affordable rates. "
2,Toronto Re-Car Smash Repairs,https://www.facebook.com/TorontoRecar/?__tn__=%3C,http://www.torontorecar.com.au/,office@torontorecar.com.au,950 4600, 489 people like this 503 people follow this 6 people checked in here Automotive Body Shop · Automotive Restoration Service Hours Closed now 8:00 AM - 4:00 PM Additional contact info http://www.torontorecar.com.au/ +61 2 4950 4600 office@torontorecar.com.au Send message More info AboutSpecialising in Classic Car Restorations.Also deal in insurance and private smash work.Anything from cars to trucks to buses and trailers.Can also … See more 
3,Car Scrap toronto,https://www.facebook.com/Car-Scrap-toronto-110345738114592/?__tn__=%3C,http://carscraptoronto.com/,,," 0 people follow this Automotive Repair Shop Additional contact info http://carscraptoronto.com/ Send message More info AboutIf you are looking to sell your junk/scrap cars for cash, or if you are looking for free scrap car removal in Toronto or in the greater Toronto area g… See more "
4,Ultra Tune Toronto,https://www.facebook.com/torontomorissetcarservice/?__tn__=%3C,http://www.ultratune.com.au/toronto,toronto@ultratune.com.au,959 8889," 4,129 people like this 4,256 people follow this 65 people checked in here Automotive Repair Shop · Tire Dealer & Repair Shop Hours Closed now 8:00 AM - 5:00 PM Business details Price range  · $$$ Additional contact info http://www.ultratune.com.au/toronto +61 2 4959 8889 toronto@ultratune.com.au Send message More info AboutWestlakes Number 1 Auto Service Centre, specialising in servicing, tyres, batteries, air conditioning, brakes, suspension, exhausts and diagnostics. Additional informationOn the Western side of lake macquarie in the suburb of Toronto. We specialise in car servicing, mechanical repairs, clutch and brake repairs, rego ins… See more "
5,,,,,,
6,Car Repair + Rental Dhaka,https://www.facebook.com/recarbd/?__tn__=%3C,http://recardbd.com/,,621-9966," 6,605 people like this 6,932 people follow this Automotive Repair Shop Hours Always open Additional contact info http://recardbd.com/ 01621-996660 Send message More info AboutCar Repair Shop in Dhaka Offers free Wi-Fi "
7,M.E.Superior Motors,https://www.facebook.com/mesuperiormotors/?__tn__=%3C,,gtaspeed@live.ca,647-274-5817," 663 people like this 684 people follow this 1,012 people checked in here Automotive Repair Shop · Cars Hours Open now 10:00 AM - 7:00 PM Business details Price range  · Not Applicable Additional contact info +1 647-274-5817 gtaspeed@live.ca Send message More info AboutM.E. Superior Motors is an automotive repair facility to serve customers with quality and honesty.  M.E is fast, efficient, and fair. Jap/Euro/dom trucks "
8,Paintless Dent Repair Toronto by GTADENT.ca,https://www.facebook.com/Paintless-Dent-Repair-Toronto-by-GTADENTca-818379134917344/?__tn__=%3C,http://www.gtadent.ca/,,416-999-8811," 37 people like this 38 people follow this Car Wash · Automotive Body Shop Business details Price range  · $$ Additional contact info http://www.gtadent.ca/ +1 416-999-8811 Send message More info AboutOur mission is to provide the highest quality dent repair services in Toronto and GTA, while keeping customer satisfaction our priority. "
9,Sevan Auto Electric & Car Repair,https://www.facebook.com/sevan2000/?__tn__=%3C,http://www.4167480700.yp.ca/,,4167480700416-748-0700, 54 people like this 55 people follow this 1 person checked in here Automotive Repair Shop · Car dealership · Automotive Parts Store Business details Price range  · $ Additional contact info http://www.4167480700.yp.ca/ +1 416-748-0700 Send message 
10,Cochrane Automotive,https://www.facebook.com/CochraneAutomotive/?__tn__=%3C,http://www.cochraneauto.ca/,service@cochraneauto.ca,416-236-1703," 146 people like this 156 people follow this 3 people checked in here Automotive Repair Shop · Tire Dealer & Repair Shop · Oil Lube & Filter Service Hours Open now 8:00 AM - 5:30 PM Business details Price range  · $$ Additional contact info http://www.cochraneauto.ca/ +1 416-236-1703 service@cochraneauto.ca Send message More info AboutCochrane Automotive is a full service professional automotive service and repair centre operating in the West End of Toronto.  Additional informationCochrane Automotive is a full service professional automotive service and repair centre operating in the West End of Toronto. Operating since 1976, ou… See more "
11,Toronto Car Sales & Auto Service,https://www.facebook.com/Toronto-Car-Sales-Auto-Service-445309445676791/?__tn__=%3C,,,905-459-8181, 5 people like this 5 people follow this Automotive Repair Shop · Car dealership Additional contact info +1 905-459-8181 Send message 
12,Airport Car Repair Center,https://www.facebook.com/AirportCarRepairCentre/?__tn__=%3C,http://www.airportcarrepair.com/,vikram8100@gmail.com,416-245-3300," 209 people like this 211 people follow this 3 people checked in here Tire Dealer & Repair Shop · Automotive Repair Shop · Local Service Hours Open now 8:00 AM - 7:00 PM Business details Price range  · $$ Additional contact info http://www.airportcarrepair.com/ +1 416-245-3300 vikram8100@gmail.com Send message More info AboutLocated right by the Toronto Pearson Int. Airport, our business has been providing excellent car services & automotive repairs for over 20 years.  "
13,CarTasks,https://www.facebook.com/CarTasks/?__tn__=%3C,http://www.cartasks.com/,customercare@cartasks.com,844-698-2757," 194 people like this 189 people follow this Automotive Repair Shop · Automotive Body Shop · Automotive Parts Store Hours Open now 9:00 AM - 7:00 PM Business details Price range  · $ Additional contact info http://www.cartasks.com/ +1 844-698-2757 customercare@cartasks.com Send message More info AboutCarTasks is committed to connecting you with local quality Auto Shops at a fair price. Upload images, receive estimates, book appointments and much more.  Additional informationWe help you save time, money and energy by receiving estimates from shops in your local area from the comfort of your home and best of all, it’s FREE!… See more "
14,Service Plus Car Care Centre,https://www.facebook.com/ServicePlusCarCareCentre/?__tn__=%3C,http://serviceplus416.com/,service@elegantmotoring.ca,416-255-2221," 620 people like this 615 people follow this 13 people checked in here Automotive Repair Shop · Tire Dealer & Repair Shop · Oil Lube & Filter Service Hours Open now 8:00 AM - 6:00 PM Business details Price range  · $ Additional contact info http://serviceplus416.com/ +1 416-255-2221 service@elegantmotoring.ca Send message More info About Automotive Repairs and Emission Testing,  We are your Dealer alernative.  Additional informationWelcome to Service Plus Car Care Center servicing southwest Etobicoke with Honesty, Integrity, Experience, Quality and Service at a fair price.Keep u… See more "
15,Iconicars Garage Toronto,https://www.facebook.com/iconicarss/?__tn__=%3C,,korchmotorsports@gmail.com,647-409-2578," 253 people like this 270 people follow this 9 people checked in here Automotive Repair Shop · Car dealership Hours Open now 9:30 AM - 5:00 PM Business details Price range  · $ Additional contact info +1 647-409-2578 korchmotorsports@gmail.com Send message More info AboutSpecializing in BMW M series services, performance and track car preparation.  Additional informationWe specialize in European Iconicar Sales, Build Custom Track Cars & Race Cars. We have high quality cars, and can find you any cars that you are looki… See more "
16,Car Paint BD,https://www.facebook.com/carpaintbd/?__tn__=%3C,https://sites.google.com/view/carpaintbd,carpaintbd2@gmail.com,848-0891880 1848," 417 people like this 448 people follow this Automotive Repair Shop Hours Closed now 9:45 AM - 9:00 PM Business details Price range  · $ Additional contact info https://sites.google.com/view/carpaintbd 01848-089162 carpaintbd2@gmail.com Send message +880 1848-089162 More info AboutWe protect your car dent paint a/c engine elections or car others working shop in a lower-Price.Thank you so much. Additional informationLooking for a paint shop where you can paint your car according to our requirements at a reasonable price?Looking for a place where you can customiz… See more ImpressumWe will also help you to make a mesh grill, a performance mod in your engine and others, dashboard and AC panel modifications, lights cleaning repair … See more Privacy Policy "
